Title,Date
"The Blacklist: Temporada 2: El Diciembrista (N.° 12)","17/2/19"
"The Blacklist: Temporada 2: El Cimitarra (N.° 22)","17/2/19"
"The Blacklist: Temporada 2: El cártel de Mombasa (N.° 114)","16/2/19"
"The Blacklist: Temporada 2: El Frente (N.° 74)","16/2/19"
"The Blacklist: Temporada 2: Doctor Linus Creel (N.° 82)","13/2/19"
"The Blacklist: Temporada 2: El doctor James Covington (N.° 89)","12/2/19"
"The Blacklist: Temporada 2: El banco Monarch Douglas (N.° 112)","11/2/19"
"The Good Wife: Temporada 1: Heterodoxo","11/2/19"
"The Good Wife: Temporada 1: Conyugal","11/2/19"
"The Good Wife: Temporada 1: Accidente","11/2/19"
"The Blacklist: Temporada 2: Lord Baltimore (N.° 104)","7/2/19"
"The Good Wife: Temporada 1: Soborno","7/2/19"
"The Good Wife: Temporada 1: Hogar","7/2/19"
"The Blacklist: Temporada 1: Berlín (N.° 8): Conclusión","6/2/19"
"The Blacklist: Temporada 1: Berlín (N.° 8)","6/2/19"
"The Blacklist: Temporada 1: El Hacedor de reyes (N.° 42)","5/2/19"
"The Good Wife: Temporada 1: Stripper","4/2/19"
"The Good Wife: Temporada 1: Piloto","4/2/19"
"The Blacklist: Temporada 1: Los hermanos Pavlovich (N.° 119-122)","3/2/19"
"The Blacklist: Temporada 1: Milton Bobbit (N.° 135)","3/2/19"
"The Blacklist: Temporada 1: Iván (N.° 88)","3/2/19"
"The Blacklist: Temporada 1: Mako Tanida (N.° 83)","3/2/19"
"The Blacklist: Temporada 1: El Juez (N.° 57)","2/2/19"
"The Blacklist: Temporada 1: Madeline Pratt (N.° 73)","2/2/19"
"The Blacklist: Temporada 1: La agencia Cyprus (N.° 64)","1/2/19"
"Dr. House: Temporada 1: La navaja de Occam","1/2/19"
"Dr. House: Temporada 1: Paternidad","1/2/19"
"Dr. House: Temporada 1: Piloto","1/2/19"
"The Blacklist: Temporada 1: El alquimista (N.° 101)","31/1/19"
"The Blacklist: Temporada 1: El buen samaritano (N.° 106)","31/1/19"
"The Blacklist: Temporada 1: Anslo Garrick (N.° 16): Conclusión","31/1/19"
"The Blacklist: Temporada 1: Anslo Garrick (N.° 16)","30/1/19"
"The Blacklist: Temporada 1: General Ludd (N.° 109)","30/1/19"
"Los odiosos ocho","28/1/19"
"La Guerra de Vietnam: Temporada 1: El río Estigia (enero 1964 – diciembre 1965)","28/1/19"
"La Guerra de Vietnam: Temporada 1: Cabalgando sobre el lomo de un tigre (1961-1963)","28/1/19"
"You: Temporada 1: El castillo de Barbazul","22/1/19"
"The Blacklist: Temporada 1: Frederick Barnes (N.° 47)","21/1/19"
"You: Temporada 1: Candace","21/1/19"
"You: Temporada 1: Soy tuyo, cielo","21/1/19"
"The Blacklist: Temporada 1: Gina Zanetakos (N.° 152)","20/1/19"
"The Blacklist: Temporada 1: El Mensajero (N.° 85)","20/1/19"
"The Blacklist: Temporada 1: El Cocinero (N.° 161)","20/1/19"
"The Blacklist: Temporada 1: Wujing (N.° 84)","20/1/19"
"The Blacklist: Temporada 1: El freelance (N.° 145)","19/1/19"
"Z, la ciudad perdida","18/1/19"
"You: Temporada 1: Totalidad","18/1/19"
"The Blacklist: Temporada 1: Piloto","17/1/19"
"You: Temporada 1: Amour fou","17/1/19"
"You: Temporada 1: Convivir con el enemigo","17/1/19"
"You: Temporada 1: El Capitán","16/1/19"
"You: Temporada 1: Quizás","16/1/19"
"You: Temporada 1: El último chico agradable de Nueva York","16/1/19"
"You: Temporada 1: Piloto","16/1/19"
"¡A ordenar con Marie Kondo!: Temporada 1: Nidos vacíos","14/1/19"
"La Guerra de Vietnam: Temporada 1: Déjà vu (1858-1961)","14/1/19"
"Sherlock: Temporada 4: El problema final","13/1/19"
"Black Mirror: Bandersnatch","13/1/19"
"¡A ordenar con Marie Kondo!: Temporada 1: Orden y niños pequeños","9/1/19"
"Sherlock: Temporada 4: El detective mentiroso","7/1/19"
"Sherlock: Temporada 4: Las seis Thatchers","7/1/19"
"Mowgli: La leyenda de la selva","6/1/19"
"FIGHTWORLD: Temporada 1: Israel: Maestros de la guerra","6/1/19"
"FIGHTWORLD: Temporada 1: Senegal: Si me alejo de la gracia de Dios","2/1/19"
"FIGHTWORLD: Temporada 1: Birmania: Encrucijadas","2/1/19"
"Love Actually","1/1/19"
"FIGHTWORLD: Temporada 1: Tailandia: El hijo afortunado","31/12/18"
"FIGHTWORLD: Temporada 1: México: La pistola y el corazón","31/12/18"
"Cargo","31/12/18"
"A ciegas","31/12/18"
"Michael Jackson's This Is It","13/12/18"
